playlist_id,track_id,title,artists,artist_ids,preview_url,album,cover_url,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness,key,mode,time_signature,track_popularity,release_date,cluster,mood,playlist_name,artist_image_url,album_name,album_image,release_date.1,total_tracks,playlist_cover_image_url
37i9dQZF1E36jQAgl791vy,03PtknZU5nhXUqosFYNKEf,Mathakayan obe,"Chamara Weerasinghe, Aradhana Ekanayaka","0Dnie0m84vyBv4S33KKOgy, 4u7oLWAsRHOXbfwr4FDQQq",https://p.scdn.co/mp3-preview/5dd061767f92a997ac9a89eb726c58f159e4ef75?cid=ff14a0bc7f824e879d94d30736b0a1ac,Mathakayan obe,https://i.scdn.co/image/ab67616d0000b2730b450a5d6bc7517f7b465469,0.791,0.863,0.96,125.006,0.298,3.22E-06,0.306,-11.406,0.037,10,0,4,39,4/2/2003,8,Upset,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Mathakayan obe,https://i.scdn.co/image/ab67616d0000b2730b450a5d6bc7517f7b465469,4/2/2003,1,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,4wvEqjikLbOM7TrLJSQiKN,Pem Mal,"Mohideen Baig, Latha Walpola","5zkcNzmwkI9PB0VOkXkWVi, 2sn075WC3sXXD17t57FkTn",https://p.scdn.co/mp3-preview/51825b656522449c50e7827044f2550faee50ac4?cid=ff14a0bc7f824e879d94d30736b0a1ac,Pem Mal Mala,https://i.scdn.co/image/ab67616d0000b273a277012fc93ab2e787468d70,0.495,0.581,0.664,91.598,0.555,0,0.602,-7.978,0.183,0,1,3,4,2/21/2014,2,Relaxed,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b27379066879f788091ed1e1e06f,,,2/21/2014,,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,2K7kHKYCiqQ2Fg9Wr5g8cG,Pura Poya Handata,"Rohana Weerasinghe, Sunil Edirisinghe","7xtH99LIfTdFERRQE7kT8z, 3Cux1TIhKof6hpTZAcAdHv",https://p.scdn.co/mp3-preview/78f7e64075ea757b57118a000ff4bd2558b5eb11?cid=ff14a0bc7f824e879d94d30736b0a1ac,"Top Sinhala Songs, Vol. 42",https://i.scdn.co/image/ab67616d0000b273b37b48b452aaf7fc99fef882,0.527,0.278,0.807,140.288,0.702,0,0.062,-13.863,0.0417,5,0,3,0,8/21/2020,4,Neutral,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b2732f6351864d709ad8b4a721e2,,,8/21/2020,,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,2VHERYGLjjU5fqR0SFTUYm,Ahasin Eha,"Udara Samaraweera, Uresha Ravihari, Kasun Kalhara","5bJVhEZyYJ17uQ8NSgbkcM, 5T4mymgJStVIyosEmFreK1, 33Y7dADrRWpD5ZVrVm8tw9",https://p.scdn.co/mp3-preview/4e609345445808bb5b8ae91554309fab9696ce97?cid=ff14a0bc7f824e879d94d30736b0a1ac,Adaraneeya Kathawak,https://i.scdn.co/image/ab67616d0000b273da1fa77942e7b6d432b72e81,0.604,0.494,0.314,93.956,0.507,0.000126,0.168,-8.101,0.033,6,1,4,42,2016,9,Sad,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b273f8578cd66b2c564f2a6cb393,Adaraneeya Kathawak,https://i.scdn.co/image/ab67616d0000b273da1fa77942e7b6d432b72e81,2016,8,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,656jjvRI6vvIeTojaEIXOp,Kavi Seepada,Chandana Liyanaarachchi,7zjVTNpa6yndlQ5ejYOGbm,https://p.scdn.co/mp3-preview/156b3d94d2bcd584fc1776fac189f8f108200001?cid=ff14a0bc7f824e879d94d30736b0a1ac,Kavi Seepada,https://i.scdn.co/image/ab67616d0000b273b0f73192de7998a72ea6b375,0.716,0.491,0.935,133.721,0.307,0.000224,0.0779,-12.69,0.0358,7,1,3,15,12/1/2000,8,Upset,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,,,12/1/2000,,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,7bUMm4Ay3hytA5qhKh90hM,Oba Themei Kiya,Edward Jayakody,5vEOJqGp3u64wA0HA3a7nc,https://p.scdn.co/mp3-preview/e92d859429d37900b79ad8ff84c8408904319915?cid=ff14a0bc7f824e879d94d30736b0a1ac,Dedunu Palama,https://i.scdn.co/image/ab67616d0000b273623508915dd8055a166f4ac7,0.664,0.345,0.72,123,0.48,2.82E-05,0.293,-12.1,0.0487,9,1,3,8,1/1/2010,1,Excited,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b2732f6351864d709ad8b4a721e2,Dedunu Palama,https://i.scdn.co/image/ab67616d0000b273623508915dd8055a166f4ac7,1/1/2010,15,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,2B2STT6n5OaaEpcOXCU4Ly,Anagathaye,Wayo,7esuGDpmnktF4hKuTfqf0z,https://p.scdn.co/mp3-preview/e98e3454d7776e3128d6b5d920c0735934f15a23?cid=ff14a0bc7f824e879d94d30736b0a1ac,Anagathaye,https://i.scdn.co/image/ab67616d0000b273884cb11fe7a559a783cdcf6f,0.741,0.56,0.716,120.045,0.534,1.13E-06,0.135,-7.118,0.0315,7,1,4,36,7/6/2018,1,Excited,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b273884cb11fe7a559a783cdcf6f,Anagathaye,https://i.scdn.co/image/ab67616d0000b273884cb11fe7a559a783cdcf6f,7/6/2018,1,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,0SNQl1pqrpmMNbZGjgondb,Yaayata Paayana,"Prihan,Natasha, Natasha","6zTlleRTgCMvp7tbRo9tgr, 7MBJMXAEJuzO754trRIuHu",https://p.scdn.co/mp3-preview/389b9851c3bc013f1da7105d1e8962dbcb62d88c?cid=ff14a0bc7f824e879d94d30736b0a1ac,Nimak Nathi Adarey,https://i.scdn.co/image/ab67616d0000b2739d187c7cb03eceac3d13030f,0.58,0.498,0.465,139.671,0.32,0,0.143,-8.112,0.0381,7,1,4,37,1/16/2014,4,Neutral,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b2739d187c7cb03eceac3d13030f,Nimak Nathi Adarey,https://i.scdn.co/image/ab67616d0000b2739d187c7cb03eceac3d13030f,1/16/2014,20,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,7i6qIqPKcxJafhHj1aMnld,Seetha Maruthe,Ruwan Hettiarachchi,5W04KJt6WI2LpfzkMVai8B,https://p.scdn.co/mp3-preview/035612e0ace1096798f22b6141b8e973771b991d?cid=ff14a0bc7f824e879d94d30736b0a1ac,Seetha Maruthe,https://i.scdn.co/image/ab67616d0000b273bf8f7dd2ace514e7cd76cc2f,0.585,0.73,0.269,143.986,0.123,0,0.136,-4.41,0.044,10,1,4,36,7/8/2014,4,Neutral,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b27310fb06bd4eebba7860d02b6d,Seetha Maruthe,https://i.scdn.co/image/ab67616d0000b273bf8f7dd2ace514e7cd76cc2f,7/8/2014,1,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,5jYUicQ74uNA8wxQJSUVHC,Oba Apple Malak Vage,"Amarasiri Peiris, Manik Jayasekara, Nirosha Virajini, Malani Bulathsinhala","0YTEYWI8m3vGDvxusBF2OQ, 1MR55ESy1GiBPtJ8clcmio, 6wHi07ZWI3mgwehxRbd8x9, 4DwEeLkMotBXqirRdHGvWS",https://p.scdn.co/mp3-preview/bab94a1464bb85e237c3b28409d3b68007a505fe?cid=ff14a0bc7f824e879d94d30736b0a1ac,Snehaye Nagarayai,https://i.scdn.co/image/ab67616d0000b273346df5a8855376d26465faa2,0.583,0.551,0.198,156.095,0.29,1.88E-05,0.109,-10.613,0.044,0,1,4,31,1/1/2001,0,Happy,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b273346df5a8855376d26465faa2,Snehaye Nagarayai,https://i.scdn.co/image/ab67616d0000b273346df5a8855376d26465faa2,1/1/2001,18,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
